Token(numero_entero, '123456789', L7:C1)
Token(numero_flotante, '12.36', L8:C1)
Token(numero_flotante, '36.65', L9:C1)
Token(identificador, 'camila1', L11:C1)
Token(identificador, 'camila2', L12:C1)
Token(identificador, 'identificador56', L13:C1)
Token(if_word, 'if', L15:C1)
Token(else_word, 'else', L16:C1)
Token(end_word, 'end', L17:C1)
Token(do_word, 'do', L18:C1)
Token(while_word, 'while', L19:C1)
Token(int_word, 'int', L20:C1)
Token(float_word, 'float', L21:C1)
Token(bool_word, 'bool', L22:C1)
Token(main_word, 'main', L23:C1)
Token(cin_word, 'cin', L24:C1)
Token(cout_word, 'cout', L25:C1)
Token(suma, '+', L27:C1)
Token(resta, '-', L27:C3)
Token(multiplicacion, '*', L27:C5)
Token(division, '/', L27:C7)
Token(modulo, '%', L27:C9)
Token(potencia, '^', L27:C11)
Token(incremento, '++', L27:C13)
Token(decremento, '--', L27:C16)
Token(opOut, '<<', L29:C1)
Token(asignacion, '=', L30:C2)
Token(opIn, '>>', L31:C1)
Token(asignacion, '=', L32:C2)
Token(diferente, '!=', L33:C1)
Token(igual, '==', L34:C1)
Token(opAnd, '&&', L36:C1)
Token(opOr, '||', L37:C1)
Token(opNot, '!', L38:C1)
Token(parentesisIzq, '(', L40:C1)
Token(parentesisDer, ')', L40:C2)
Token(llaveIzq, '{', L40:C3)
Token(llaveDer, '}', L40:C4)
Token(coma, ',', L40:C5)
Token(puntoComa, ';', L40:C6)
Token(cadena, 'cami', L40:C7)
Token(caracter, 'c', L40:C14)
Token(asignacion, '=', L41:C1)
Token(cadena, '', L43:C1)
Token(caracter, '', L45:C1)
Token(decremento, '--', L50:C1)
Token(incremento, '++', L52:C1)
Token(opOr, '||', L54:C1)
Token(opAnd, '&&', L56:C1)
Token(igual, '==', L58:C1)
Token(menorIgual, '<=', L60:C1)
Token(mayorIgual, '>=', L62:C1)
Token(diferente, '!=', L64:C1)
Token(opIn, '>>', L66:C1)
Token(opOut, '<<', L68:C1)
Token(opOut, '<<', L70:C1)
Token(opIn, '>>', L71:C1)
Token(cin_word, 'cin', L72:C1)
Token(opIn, '>>', L72:C5)
Token(identificador, 'id', L72:C8)
Token(cout_word, 'cout', L73:C1)
Token(opOut, '<<', L73:C6)
Token(identificador, 'salida', L73:C9)
Token(parentesisIzq, '(', L74:C1)
Token(parentesisDer, ')', L74:C2)
