Token(main_word, 'main', L1:C1)
Token(llaveIzq, '{', L1:C6)
Token(int_word, 'int', L3:C5)
Token(identificador, 'x', L3:C9)
Token(asignacion, '=', L3:C11)
Token(numero_entero, '5', L3:C13)
Token(puntoComa, ';', L3:C15)
Token(identificador, 'x', L5:C5)
Token(numero_entero, '5', L5:C7)
Token(puntoComa, ';', L5:C9)
Token(identificador, 'x', L7:C5)
Token(asignacion, '=', L7:C7)
Token(identificador, 'a', L7:C9)
Token(suma, '+', L7:C11)
Token(puntoComa, ';', L7:C13)
Token(identificador, 'x', L9:C5)
Token(asignacion, '=', L9:C7)
Token(multiplicacion, '*', L9:C9)
Token(identificador, 'b', L9:C11)
Token(puntoComa, ';', L9:C13)
Token(identificador, 'x', L11:C5)
Token(asignacion, '=', L11:C7)
Token(parentesisIzq, '(', L11:C9)
Token(identificador, 'a', L11:C11)
Token(suma, '+', L11:C13)
Token(identificador, 'b', L11:C15)
Token(puntoComa, ';', L11:C17)
Token(if_word, 'if', L13:C5)
Token(identificador, 'x', L13:C8)
Token(mayorQue, '>', L13:C10)
Token(numero_entero, '0', L13:C12)
Token(identificador, 'x', L14:C2)
Token(asignacion, '=', L14:C4)
Token(numero_entero, '1', L14:C6)
Token(puntoComa, ';', L14:C8)
Token(end_word, 'end', L15:C5)
Token(puntoComa, ';', L15:C9)
Token(identificador, 'a', L17:C5)
Token(incremento, '++', L17:C6)
Token(puntoComa, ';', L17:C8)
Token(if_word, 'if', L18:C5)
Token(identificador, 'x', L18:C8)
Token(mayorQue, '>', L18:C10)
Token(numero_entero, '0', L18:C12)
Token(then_word, 'then', L18:C14)
Token(identificador, 'x', L19:C2)
Token(asignacion, '=', L19:C4)
Token(numero_entero, '1', L19:C6)
Token(puntoComa, ';', L19:C8)
Token(while_word, 'while', L20:C6)
Token(identificador, 'x', L20:C12)
Token(mayorQue, '>', L20:C14)
Token(numero_entero, '0', L20:C16)
Token(identificador, 'x', L21:C6)
Token(asignacion, '=', L21:C8)
Token(identificador, 'x', L21:C10)
Token(resta, '-', L21:C12)
Token(numero_entero, '1', L21:C14)
Token(puntoComa, ';', L21:C16)
Token(do_word, 'do', L22:C10)
Token(identificador, 'x', L22:C13)
Token(asignacion, '=', L22:C15)
Token(identificador, 'x', L22:C17)
Token(suma, '+', L22:C19)
Token(numero_entero, '1', L22:C21)
Token(puntoComa, ';', L22:C23)
Token(cin_word, 'cin', L25:C11)
Token(opIn, '>>', L25:C15)
Token(identificador, 'x', L25:C18)
Token(suma, '+', L25:C20)
Token(numero_entero, '1', L25:C22)
Token(puntoComa, ';', L25:C24)
Token(cin_word, 'cin', L27:C11)
Token(identificador, 'x', L27:C15)
Token(puntoComa, ';', L27:C17)
Token(cout_word, 'cout', L29:C11)
Token(identificador, 'x', L29:C16)
Token(puntoComa, ';', L29:C18)
Token(cout_word, 'cout', L31:C11)
Token(opOut, '<<', L31:C16)
Token(puntoComa, ';', L31:C19)
Token(do_word, 'do', L32:C8)
Token(identificador, 'x', L32:C11)
Token(asignacion, '=', L32:C13)
Token(identificador, 'x', L32:C15)
Token(suma, '+', L32:C17)
Token(numero_entero, '1', L32:C19)
Token(puntoComa, ';', L32:C21)
Token(while_word, 'while', L34:C8)
Token(identificador, 'x', L34:C14)
Token(menorQue, '<', L34:C16)
Token(numero_entero, '10', L34:C18)
Token(end_word, 'end', L35:C6)
Token(puntoComa, ';', L35:C9)
Token(llaveDer, '}', L42:C1)
