Token(main_word, 'main', L1:C1)
Token(llaveIzq, '{', L1:C6)
Token(int_word, 'int', L2:C1)
Token(identificador, 'a', L2:C5)
Token(puntoComa, ';', L2:C6)
Token(identificador, 'a', L3:C1)
Token(asignacion, '=', L3:C3)
Token(numero_entero, '5', L3:C5)
Token(puntoComa, ';', L3:C6)
Token(int_word, 'int', L4:C1)
Token(identificador, 'b', L4:C5)
Token(puntoComa, ';', L4:C6)
Token(identificador, 'b', L5:C1)
Token(asignacion, '=', L5:C3)
Token(identificador, 'a', L5:C5)
Token(suma, '+', L5:C7)
Token(numero_entero, '3', L5:C9)
Token(puntoComa, ';', L5:C10)
Token(int_word, 'int', L6:C1)
Token(identificador, 'c', L6:C5)
Token(puntoComa, ';', L6:C6)
Token(identificador, 'c', L7:C1)
Token(asignacion, '=', L7:C3)
Token(parentesisIzq, '(', L7:C5)
Token(identificador, 'a', L7:C6)
Token(suma, '+', L7:C8)
Token(identificador, 'b', L7:C10)
Token(parentesisDer, ')', L7:C11)
Token(multiplicacion, '*', L7:C13)
Token(numero_entero, '2', L7:C15)
Token(puntoComa, ';', L7:C16)
Token(int_word, 'int', L8:C1)
Token(identificador, 'a', L8:C5)
Token(puntoComa, ';', L8:C6)
Token(identificador, 'a', L9:C1)
Token(asignacion, '=', L9:C3)
Token(numero_entero, '2', L9:C5)
Token(suma, '+', L9:C7)
Token(numero_entero, '3', L9:C9)
Token(multiplicacion, '*', L9:C11)
Token(numero_entero, '4', L9:C13)
Token(puntoComa, ';', L9:C14)
Token(identificador, 'a', L10:C1)
Token(asignacion, '=', L10:C3)
Token(parentesisIzq, '(', L10:C5)
Token(numero_entero, '2', L10:C6)
Token(suma, '+', L10:C8)
Token(numero_entero, '3', L10:C10)
Token(parentesisDer, ')', L10:C11)
Token(multiplicacion, '*', L10:C13)
Token(numero_entero, '4', L10:C15)
Token(puntoComa, ';', L10:C16)
Token(identificador, 'a', L11:C1)
Token(asignacion, '=', L11:C3)
Token(numero_entero, '2', L11:C5)
Token(potencia, '^', L11:C7)
Token(numero_entero, '3', L11:C9)
Token(potencia, '^', L11:C11)
Token(numero_entero, '2', L11:C13)
Token(puntoComa, ';', L11:C14)
Token(identificador, 'a', L12:C1)
Token(asignacion, '=', L12:C3)
Token(identificador, 'a', L12:C5)
Token(incremento, '++', L12:C6)
Token(puntoComa, ';', L12:C8)
Token(identificador, 'a', L13:C1)
Token(asignacion, '=', L13:C3)
Token(identificador, 'a', L13:C5)
Token(decremento, '--', L13:C6)
Token(puntoComa, ';', L13:C8)
Token(identificador, 'x', L14:C1)
Token(asignacion, '=', L14:C3)
Token(bool_value, 'true', L14:C5)
Token(puntoComa, ';', L14:C9)
Token(identificador, 'x', L15:C1)
Token(asignacion, '=', L15:C3)
Token(bool_value, 'false', L15:C5)
Token(puntoComa, ';', L15:C10)
Token(identificador, 'x', L16:C1)
Token(asignacion, '=', L16:C3)
Token(opNot, '!', L16:C5)
Token(bool_value, 'true', L16:C6)
Token(puntoComa, ';', L16:C10)
Token(identificador, 'x', L17:C1)
Token(asignacion, '=', L17:C3)
Token(numero_entero, '5', L17:C5)
Token(menorQue, '<', L17:C7)
Token(numero_entero, '10', L17:C9)
Token(puntoComa, ';', L17:C11)
Token(identificador, 'x', L18:C1)
Token(asignacion, '=', L18:C3)
Token(numero_entero, '5', L18:C5)
Token(menorQue, '<', L18:C7)
Token(numero_entero, '10', L18:C9)
Token(opAnd, '&&', L18:C12)
Token(numero_entero, '8', L18:C15)
