Token(main_word, 'main', L1:C1)
Token(llaveIzq, '{', L2:C1)
Token(int_word, 'int', L3:C1)
Token(identificador, 'x', L3:C5)
Token(coma, ',', L3:C6)
Token(identificador, 'y', L3:C7)
Token(coma, ',', L3:C8)
Token(identificador, 'z', L3:C9)
Token(puntoComa, ';', L3:C10)
Token(float_word, 'float', L4:C1)
Token(identificador, 'a', L4:C7)
Token(coma, ',', L4:C8)
Token(identificador, 'b', L4:C9)
Token(coma, ',', L4:C10)
Token(identificador, 'c', L4:C11)
Token(puntoComa, ';', L4:C12)
Token(identificador, 'suma', L5:C2)
Token(asignacion, '=', L5:C6)
Token(numero_entero, '45', L5:C7)
Token(identificador, 'x', L6:C1)
Token(asignacion, '=', L6:C2)
Token(numero_flotante, '32.32', L6:C3)
Token(puntoComa, ';', L6:C8)
Token(identificador, 'x', L7:C1)
Token(asignacion, '=', L7:C2)
Token(numero_entero, '23', L7:C3)
Token(puntoComa, ';', L7:C5)
Token(identificador, 'y', L8:C1)
Token(asignacion, '=', L8:C2)
Token(numero_entero, '2', L8:C3)
Token(suma, '+', L8:C4)
Token(numero_entero, '3', L8:C5)
Token(resta, '-', L8:C6)
Token(numero_entero, '1', L8:C7)
Token(puntoComa, ';', L8:C8)
Token(identificador, 'z', L9:C1)
Token(asignacion, '=', L9:C2)
Token(identificador, 'y', L9:C3)
Token(suma, '+', L9:C4)
Token(numero_entero, '7', L9:C5)
Token(puntoComa, ';', L9:C6)
Token(identificador, 'y', L10:C1)
Token(asignacion, '=', L10:C2)
Token(identificador, 'y', L10:C3)
Token(suma, '+', L10:C4)
Token(numero_entero, '1', L10:C5)
Token(puntoComa, ';', L10:C6)
Token(identificador, 'a', L11:C1)
Token(asignacion, '=', L11:C2)
Token(numero_flotante, '24.0', L11:C3)
Token(suma, '+', L11:C7)
Token(numero_entero, '4', L11:C8)
Token(resta, '-', L11:C9)
Token(numero_entero, '1', L11:C10)
Token(division, '/', L11:C11)
Token(numero_entero, '3', L11:C12)
Token(multiplicacion, '*', L11:C13)
Token(numero_entero, '2', L11:C14)
Token(suma, '+', L11:C15)
Token(numero_entero, '34', L11:C16)
Token(resta, '-', L11:C18)
Token(numero_entero, '1', L11:C19)
Token(puntoComa, ';', L11:C20)
Token(identificador, 'x', L12:C1)
Token(asignacion, '=', L12:C2)
Token(parentesisIzq, '(', L12:C3)
Token(numero_entero, '5', L12:C4)
Token(resta, '-', L12:C5)
Token(numero_entero, '3', L12:C6)
Token(multiplicacion, '*', L12:C7)
Token(parentesisIzq, '(', L12:C8)
Token(numero_entero, '8', L12:C9)
Token(division, '/', L12:C10)
Token(numero_entero, '2', L12:C11)
Token(parentesisDer, ')', L12:C12)
Token(puntoComa, ';', L12:C13)
Token(identificador, 'y', L13:C1)
Token(asignacion, '=', L13:C2)
Token(numero_entero, '5', L13:C3)
Token(suma, '+', L13:C4)
Token(numero_entero, '3', L13:C5)
Token(resta, '-', L13:C6)
Token(numero_entero, '2', L13:C7)
Token(multiplicacion, '*', L13:C8)
Token(numero_entero, '4', L13:C9)
Token(division, '/', L13:C10)
Token(numero_entero, '7', L13:C11)
Token(resta, '-', L13:C12)
Token(numero_entero, '9', L13:C13)
Token(puntoComa, ';', L13:C14)
Token(identificador, 'z', L14:C1)
Token(asignacion, '=', L14:C2)
Token(numero_entero, '8', L14:C3)
Token(division, '/', L14:C4)
Token(numero_entero, '2', L14:C5)
Token(suma, '+', L14:C6)
Token(numero_entero, '15', L14:C7)
Token(multiplicacion, '*', L14:C9)
Token(numero_entero, '4', L14:C10)
Token(puntoComa, ';', L14:C11)
Token(identificador, 'y', L15:C1)
Token(asignacion, '=', L15:C2)
Token(numero_flotante, '14.54', L15:C3)
Token(puntoComa, ';', L15:C8)
Token(if_word, 'if', L16:C1)
Token(parentesisIzq, '(', L16:C3)
Token(numero_entero, '2', L16:C4)
Token(mayorQue, '>', L16:C5)
Token(numero_entero, '3', L16:C6)
Token(parentesisDer, ')', L16:C7)
Token(then_word, 'then', L16:C8)
Token(identificador, 'y', L17:C9)
